Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Resource_Index,Effort_Score,Challenge_Index
25,67,3,2,False,9,93,3,1,2,1,3,0,3,3,1,1,1,1,68,4,94,3
15,86,2,2,True,7,57,2,1,1,2,2,0,1,3,0,2,1,0,65,5,102,3
28,89,1,3,True,9,79,3,1,0,1,2,1,3,1,0,2,2,1,71,5,117,5
12,88,1,2,False,6,72,1,1,2,2,2,0,3,2,0,2,3,0,64,5,102,6
24,73,2,3,True,8,64,2,1,4,3,2,1,2,3,1,2,2,0,68,7,101,5
33,70,2,2,True,6,82,1,1,1,1,3,0,2,4,0,2,1,0,69,4,104,3
14,98,2,2,False,7,76,2,1,0,2,3,1,3,4,0,2,2,1,69,5,112,4
17,97,2,2,False,8,89,2,1,1,1,2,0,2,4,0,1,3,0,69,4,115,5
21,78,2,2,True,10,55,2,1,1,3,1,1,3,2,0,2,1,0,67,6,100,3
17,94,1,2,True,8,65,1,1,4,2,2,0,2,6,0,1,3,1,68,5,115,6
11,78,2,3,True,8,51,2,1,2,1,2,0,2,3,0,3,1,0,64,5,91,3
20,77,2,2,False,6,87,1,1,0,1,3,0,3,4,0,1,1,1,66,4,97,3
14,66,3,1,False,7,96,2,1,3,1,3,0,1,3,0,1,1,0,63,3,83,2
23,77,2,2,True,7,79,2,1,0,1,3,0,2,2,0,1,2,0,66,4,100,4
14,81,2,2,False,9,81,2,1,1,1,3,1,1,3,0,3,1,1,66,4,96,3
29,61,2,3,True,7,52,1,1,3,1,2,1,3,3,0,2,1,1,67,5,93,3
15,78,3,3,False,9,75,1,1,1,1,2,0,1,1,0,1,1,0,65,5,94,2
18,91,1,2,True,5,76,2,1,1,2,2,0,2,3,0,1,1,1,68,5,110,4
25,87,2,1,False,9,52,3,1,1,1,3,1,3,2,0,1,1,0,68,3,113,3
13,85,3,2,False,6,89,2,1,0,3,2,1,2,1,1,1,1,0,65,6,98,3
21,96,2,2,False,8,64,3,1,2,2,3,0,2,0,0,2,1,0,71,5,119,3
28,61,2,3,False,6,86,3,1,1,1,2,1,1,3,1,3,3,0,65,5,90,6
10,82,2,1,False,8,70,2,1,3,1,3,0,3,1,1,3,1,1,64,3,95,4
21,91,3,2,False,6,100,2,1,0,3,2,1,2,2,0,3,1,1,72,6,112,2
22,82,2,2,False,9,61,2,1,2,1,2,0,1,2,1,1,1,1,65,4,106,4
25,73,2,3,False,8,53,3,0,0,1,3,1,1,5,0,3,1,1,66,4,98,3
13,65,1,3,False,6,99,2,1,0,1,2,1,1,4,0,1,1,0,61,5,78,4
12,96,1,3,True,8,62,2,1,2,2,3,0,1,3,0,2,1,1,68,6,110,4
23,79,3,3,True,8,82,1,1,3,2,2,0,1,3,1,3,2,1,69,6,105,4
22,95,2,3,True,6,69,2,1,1,1,2,0,3,3,0,2,1,1,72,5,118,3
22,83,2,3,True,5,82,2,1,2,1,3,0,3,3,0,3,1,1,71,5,107,3
22,87,3,3,False,5,80,1,1,2,1,3,0,1,3,0,1,1,1,70,5,111,2
16,92,2,3,True,5,85,1,1,1,1,2,0,2,2,0,1,2,0,68,5,109,4
21,86,1,2,True,5,51,2,1,2,1,3,0,3,2,0,1,2,1,67,4,109,5
22,76,2,2,True,8,92,2,1,1,1,3,0,2,4,0,1,1,1,68,4,99,3
16,81,2,2,True,8,74,2,1,3,2,2,0,3,2,0,3,1,1,68,5,100,3
31,92,2,2,True,4,76,2,1,2,2,3,0,3,4,1,1,3,0,72,5,125,6
23,75,1,3,False,6,71,1,1,0,2,2,0,2,2,0,2,1,0,65,6,98,4
13,76,2,3,False,5,99,1,1,2,2,2,1,3,4,0,1,1,1,66,6,91,3
24,64,2,2,True,8,90,3,1,0,1,3,0,1,3,0,1,1,0,65,4,88,3
14,97,2,2,True,6,66,2,1,2,2,2,0,1,3,1,2,1,1,67,5,113,4
25,64,2,3,False,5,89,1,1,2,2,2,0,2,4,0,2,3,0,66,6,91,5
27,86,2,2,False,7,72,1,1,1,2,3,0,3,4,0,1,3,0,69,5,114,5
15,77,2,2,True,8,94,1,1,0,3,3,0,3,3,0,2,2,0,66,6,92,4
26,76,2,3,True,6,52,2,1,4,3,1,0,2,3,0,1,1,0,69,7,106,3
22,87,3,1,True,7,68,2,0,0,1,2,0,2,2,0,1,1,0,67,2,109,2
25,63,3,2,True,6,71,2,1,1,2,1,1,3,3,0,1,1,0,66,5,89,2
31,84,2,2,True,9,87,2,1,2,1,2,1,2,3,0,2,3,0,71,4,117,5
19,91,3,1,False,6,59,2,1,5,2,3,0,2,4,0,2,2,0,70,4,115,3
15,93,3,2,False,6,64,2,1,2,2,3,0,3,4,0,3,1,0,71,5,110,2
15,67,2,2,True,7,86,3,1,1,3,2,1,3,3,0,3,1,0,66,6,83,3
15,96,2,2,False,7,54,3,0,3,2,3,0,1,2,0,1,1,0,67,4,114,3
20,86,3,1,False,8,60,2,1,1,2,2,0,2,4,1,2,3,1,66,4,107,5
22,95,2,3,False,9,88,1,1,0,1,3,0,3,2,0,3,1,0,72,5,117,3
22,79,2,2,False,9,94,2,1,1,2,2,0,3,3,0,1,1,0,68,5,102,3
25,82,2,2,False,6,86,2,0,3,1,3,0,3,3,0,1,1,1,69,3,110,3
20,97,2,2,True,7,76,1,1,2,1,1,1,3,3,0,3,1,0,71,4,119,3
29,96,2,2,True,9,55,1,0,0,2,2,0,2,2,0,3,3,1,70,4,125,5
18,78,2,2,False,9,91,3,1,2,3,1,0,2,4,0,2,3,1,67,6,98,5
36,71,2,2,True,6,56,2,1,2,3,2,0,3,2,0,1,3,0,69,6,109,5
24,76,1,3,False,8,69,1,1,2,2,2,0,2,1,0,1,2,0,65,6,102,5
15,76,3,3,False,8,53,2,1,1,1,2,0,2,4,0,2,1,0,65,5,92,2
14,71,2,2,True,8,85,1,1,2,2,3,0,2,4,0,1,1,0,64,5,87,3
23,71,1,1,True,9,75,1,1,1,1,2,0,1,2,0,2,1,0,63,3,95,4
19,94,1,2,True,5,95,2,1,3,1,1,0,3,2,0,1,2,0,69,4,116,5
24,63,2,1,True,6,57,2,1,1,1,3,1,2,5,0,2,1,1,64,3,88,3
23,87,3,3,True,8,91,3,1,0,3,2,1,3,3,0,1,2,0,72,7,110,3
20,67,1,2,True,7,76,2,1,0,2,2,0,2,4,0,1,1,0,63,5,87,4
15,74,1,3,True,4,68,1,1,3,1,2,0,3,3,0,1,1,1,64,5,92,4
11,62,2,3,True,5,82,2,1,3,3,2,1,2,4,0,2,2,0,64,7,76,4
17,71,2,2,True,8,90,2,1,5,2,2,0,3,1,0,3,3,0,67,5,93,5
25,91,2,2,False,8,72,1,1,2,2,3,0,3,0,0,3,1,0,71,5,118,3
21,95,2,2,False,5,62,3,1,1,2,1,0,3,4,0,1,1,0,70,5,117,3
13,69,2,1,True,9,96,1,1,0,3,2,1,2,4,0,1,3,1,61,5,82,5
21,79,2,3,True,7,66,1,1,2,1,2,0,1,4,0,2,2,0,67,5,102,4
22,79,3,2,False,5,100,2,1,4,3,3,0,1,3,0,2,1,0,72,6,105,2
15,95,1,1,True,6,88,1,1,1,1,2,0,1,5,0,1,1,0,66,3,111,4
21,91,2,3,True,5,84,2,1,1,3,1,0,2,2,0,1,1,0,70,7,113,3
20,81,3,2,True,6,51,3,0,3,2,2,0,2,4,1,1,1,0,67,4,104,3
13,87,3,1,True,4,72,2,1,2,2,3,0,2,3,0,1,2,1,67,4,102,3
22,94,1,2,True,7,75,3,1,2,3,2,0,2,2,0,2,1,1,71,6,118,4
23,60,3,2,True,8,69,2,1,1,1,2,1,3,4,0,2,1,0,66,4,84,2
26,76,2,2,True,5,57,2,1,1,2,2,0,3,4,0,1,1,0,68,5,103,3
26,96,2,2,True,7,68,2,1,3,3,2,1,3,3,0,2,1,1,74,6,125,3
12,90,2,1,True,6,54,2,0,1,3,2,0,2,3,0,1,1,0,64,4,103,3
14,82,2,2,False,8,65,2,1,1,1,2,1,3,3,0,2,1,0,65,4,97,3
23,81,1,2,True,4,54,2,1,1,1,2,0,2,3,0,2,1,0,66,4,105,4
23,74,2,3,True,8,88,1,1,0,2,3,0,1,3,1,1,1,0,66,6,97,4
23,81,2,1,False,4,84,2,1,2,2,2,0,3,5,0,1,1,0,68,4,106,3
43,86,3,2,True,7,97,2,1,2,2,3,0,3,1,0,1,1,1,78,5,131,2
23,77,2,3,True,6,69,1,1,1,2,2,1,3,2,0,1,2,1,67,6,101,4
27,89,2,3,True,6,89,2,1,3,2,2,1,3,3,0,1,1,0,74,6,119,3
26,94,2,3,False,5,79,3,1,1,1,3,0,3,2,0,3,1,0,74,5,121,3
24,66,2,1,False,9,82,1,1,1,2,2,0,2,2,1,1,1,1,62,4,91,4
18,78,3,2,True,5,77,2,0,2,2,2,0,2,4,0,1,3,0,66,4,98,4
25,76,2,2,True,5,89,3,1,3,2,3,0,2,3,0,1,3,1,69,5,104,5
15,87,2,3,True,10,52,2,1,2,1,3,1,3,3,0,2,1,0,68,5,104,3
19,70,2,1,False,7,54,3,1,0,2,2,0,3,2,1,1,2,0,89,4,89,5
17,86,3,1,False,5,55,1,0,2,3,2,1,2,4,0,2,1,0,66,4,105,2
20,95,1,2,True,7,64,1,0,2,2,3,0,2,3,0,1,1,1,68,4,117,4
34,77,2,1,True,7,80,1,1,0,2,2,0,3,3,0,1,1,0,69,4,111,3
9,96,2,2,True,4,82,3,0,0,1,2,0,3,4,0,2,1,0,67,3,105,3
24,100,3,3,True,6,86,1,1,2,2,2,1,3,5,0,1,1,0,75,6,126,2
10,64,2,3,False,7,64,3,1,0,2,2,0,3,4,1,1,2,1,60,6,74,5
17,69,3,2,True,9,83,2,1,2,2,3,1,3,4,1,2,2,1,66,5,88,4
27,98,1,3,True,7,56,1,1,1,3,2,1,3,3,0,2,1,1,73,7,126,4
20,98,2,1,False,7,50,1,1,1,2,3,1,2,2,0,1,1,1,68,4,119,3
14,64,2,2,True,6,85,2,1,0,2,2,0,2,3,0,1,1,0,62,5,78,3
16,61,2,2,False,9,86,1,1,2,1,3,0,3,2,0,1,1,0,62,4,79,3
24,66,3,1,True,8,81,3,1,1,2,2,0,2,4,0,1,3,0,65,4,91,4
16,100,3,1,True,8,63,3,1,2,1,2,0,1,3,0,1,2,0,69,3,118,3
21,67,2,2,False,7,96,1,1,3,1,2,0,2,2,0,1,3,1,64,4,91,5
20,80,2,3,False,5,94,2,1,0,1,1,1,3,4,1,3,2,1,67,5,100,5
16,94,3,3,True,9,76,2,1,0,1,3,0,2,2,0,1,1,0,70,5,110,2
33,61,2,2,False,7,99,3,1,2,2,3,0,2,3,0,2,1,1,70,5,96,3
24,84,3,1,False,7,65,1,1,3,2,3,0,3,3,0,1,1,1,69,4,111,2
8,71,3,1,False,8,75,2,1,0,2,3,0,3,3,0,1,1,0,61,4,79,2
21,94,2,2,False,7,96,1,1,0,2,2,1,2,2,1,3,2,0,69,5,115,5
16,71,3,2,True,5,73,2,1,1,2,2,0,2,0,1,1,1,0,63,5,88,3
25,87,2,1,True,7,74,1,1,0,2,3,0,2,4,1,1,1,0,67,4,112,4
15,87,1,2,False,4,54,2,1,1,2,2,0,2,6,0,1,2,0,65,5,103,5
19,69,2,2,True,7,61,3,1,3,3,3,0,2,4,0,1,2,0,66,6,91,4
23,61,1,2,False,9,58,2,1,4,2,2,0,2,2,0,1,1,0,63,5,88,4
25,76,2,3,True,4,78,2,1,2,2,2,1,1,3,0,1,2,1,68,6,103,4
13,72,3,3,False,7,66,2,1,0,1,3,0,2,4,0,3,1,0,65,5,85,2
18,92,1,2,True,8,54,2,1,1,2,2,0,3,3,0,1,1,0,67,5,111,4
17,92,1,1,True,8,75,2,1,2,2,3,0,2,3,0,3,1,1,68,4,111,4
16,78,2,3,False,6,83,2,1,0,1,1,0,2,3,1,2,1,0,64,5,94,4
31,84,2,2,False,5,87,3,1,0,2,2,1,3,3,0,2,2,0,71,5,115,4
22,84,2,2,True,6,92,1,1,0,2,2,0,2,5,0,1,1,1,69,5,106,3
12,93,2,2,True,9,74,1,1,1,2,2,0,2,3,0,3,2,0,67,5,106,4
26,77,1,2,False,4,70,1,1,2,3,1,0,2,3,1,2,2,1,65,6,105,6
33,71,1,2,False,5,84,2,1,1,2,2,0,3,2,0,1,1,0,68,5,105,4
26,71,3,2,True,6,51,1,0,1,3,2,1,3,3,0,3,2,0,67,5,98,3
11,81,2,2,True,6,82,3,1,3,2,3,0,2,4,0,1,1,0,67,5,95,3
17,78,2,3,True,7,70,2,0,2,1,3,0,3,3,0,1,1,0,66,4,97,3
28,78,3,2,False,9,73,3,1,2,2,2,0,2,4,0,2,2,1,70,5,108,3
16,64,3,1,True,5,65,2,1,3,2,3,1,3,4,0,3,2,1,65,4,83,3
23,89,1,1,True,7,56,1,1,4,2,1,1,3,4,0,3,1,1,69,4,116,4
25,69,2,2,True,7,70,1,0,1,3,3,0,3,4,0,1,3,1,65,5,95,5
14,68,3,2,False,6,65,2,1,1,3,2,0,2,3,1,2,1,0,63,6,83,3
20,77,2,2,False,5,98,1,1,2,1,3,1,2,2,0,3,3,1,67,4,99,5
1,69,3,2,True,6,97,2,1,1,1,2,0,3,3,0,1,1,1,61,4,71,2
14,83,2,1,True,6,82,2,1,0,2,2,0,3,2,0,1,1,1,65,4,97,3
18,75,1,3,True,8,95,2,1,1,1,1,0,2,2,0,2,1,1,66,5,94,4
13,78,2,3,True,8,88,3,1,0,3,1,0,2,3,0,2,1,0,66,7,91,3
30,81,2,1,True,5,67,2,1,1,3,3,0,1,1,0,1,1,0,69,5,112,3
11,68,2,2,False,6,80,2,1,2,2,2,0,3,3,0,2,2,1,63,5,81,4
17,66,1,3,False,6,61,2,1,1,3,2,0,3,6,0,3,1,0,65,7,84,4
21,95,1,1,False,10,84,1,1,0,3,2,0,2,4,1,1,1,0,67,5,116,5
29,77,3,3,True,7,52,2,1,2,3,2,0,1,3,1,1,1,1,69,7,108,3
11,76,1,2,True,5,92,2,1,4,2,1,0,1,2,0,3,1,0,65,5,91,4
27,61,2,2,False,6,79,2,1,1,1,2,0,3,3,0,1,2,0,65,4,89,4
20,80,3,1,True,6,53,2,1,0,1,2,0,2,2,0,2,2,0,65,3,100,3
14,82,2,3,True,8,94,1,1,2,1,3,0,1,5,0,2,3,1,67,5,98,5
23,82,1,2,True,8,94,2,1,1,2,2,0,1,2,1,1,1,0,66,5,106,5
21,88,2,3,False,7,93,2,1,4,1,2,0,3,3,0,1,1,1,72,5,113,3
16,67,2,3,False,7,89,3,1,3,1,2,0,3,3,0,2,1,0,66,5,86,3
20,70,2,2,True,7,84,1,0,2,2,3,1,2,4,0,2,3,0,65,4,92,5
18,92,3,2,True,7,70,2,1,1,1,2,0,2,3,0,1,2,0,69,4,111,3
21,98,2,1,False,4,57,2,1,2,3,1,0,2,2,0,1,1,1,68,5,121,3
24,65,2,1,False,7,64,1,1,1,3,2,0,2,1,0,3,1,0,64,5,90,3
30,80,1,3,False,6,67,2,1,3,2,2,0,1,4,0,2,2,1,69,6,113,5
13,69,2,1,True,5,68,1,1,0,3,2,0,3,1,1,1,2,1,59,5,82,5
33,62,3,2,True,10,78,2,1,0,2,2,1,3,3,0,1,2,1,68,5,95,3
8,73,2,2,False,7,60,2,0,0,3,2,1,2,3,0,1,1,1,60,5,81,3
19,66,2,3,False,7,59,2,1,1,3,2,0,1,3,0,1,3,0,62,7,86,5
24,88,1,2,True,6,86,1,1,0,1,1,0,1,3,0,2,1,0,67,4,112,4
22,81,1,3,True,8,50,3,1,4,2,2,1,3,5,0,1,3,1,68,6,107,6
16,66,2,3,True,5,57,3,1,3,2,2,0,3,3,0,1,2,1,64,6,85,4
19,60,2,3,True,7,72,3,1,3,1,3,0,3,3,0,1,2,1,65,5,82,4
17,92,1,1,True,6,57,2,1,2,2,2,1,3,2,1,1,2,1,65,4,111,6
16,67,3,2,False,8,98,2,1,0,1,1,0,2,3,0,1,1,1,63,4,83,2
25,84,2,1,True,6,84,1,1,2,2,3,0,3,3,0,1,1,0,70,4,111,3
22,73,1,2,True,9,72,1,1,3,2,2,0,3,3,0,1,1,1,66,5,98,4
16,83,2,3,True,7,56,1,1,4,3,2,0,3,3,0,1,1,1,68,7,103,3
